Gene_Symbol,DES460 + 0.02% MMS - 5 min,DES460 + 0.02% MMS - 30 min,DES460 + 0.2% MMS - 45 min,DES460 + 0.02% MMS - 60 min,DES460 + 0.02% MMS - 120 min,DES459 (mec1-) + 0.02% MMS - 5 min,DES459 (mec1-) + 0.02% MMS - 15 min,DES459 (mec1-) + 0.02% MMS - 30 min,DES459 (mec1-) + 0.02% MMS - 45 min,DES459 (mec1-) + 0.02% MMS - 60 min,DES459 (mec1-) + 0.02% MMS - 90 min,DES459 (mec1-) + 0.02% MMS - 120 min,dun1- + 0.02% MMs - 30 min,dun1- + 0.02% MMS - 90 min,wt_plus_gamma_5_min,wt_plus_gamma_20_min,wt_plus_gamma_30_min,wt_plus_gamma_45_min,wt_plus_gamma_60_min,wt_plus_gamma_90_min,wt_plus_gamma_120_min,DES460 (wt) - mock irradiation - 5 min,DES460 (wt) - mock irradiation - 30 min,DES460 (wt) - mock irradiation - 60 min,DES460 (wt) - mock irradiation - 90 min,mec1_plus_gamma_5_min,mec1_plus_gamma_10_min,mec1_plus_gamma_20_min,mec1_plus_gamma_30_min,mec1_plus_gamma_45_min,mec1_plus_gamma_60_min,mec1_plus_gamma_90_min,mec1_plus_gamma_120_min,DES459 (mec1) - mock irradiation - 5 min,DES459 (mec1) - mock irradiation - 30 min,DES459 (mec1) - mock irradiation - 60 min,DES460 (wild type) + heat 20 min,DES459 (mec1) + heat 20 min,MHY1 (dun1) + heat 20 min,DES460 vs. DES460 YPD log phase control,DES459 (mec1) - log phase (IR time = 0 sample),DES460(wt) vs. DES459(mec1) genomic DNA comparison,DES460(wt) vs. DES459(mec1) genomic DNA comparison #2,DES460 genomic DNA vs. MHY26 (dun1) genomic DNA,MHY1 (crt1) vs. CRY1 (wild type) - log phase
PDS1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0
CLB6,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1
SIC1,1,1,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1
CDH1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,1
CLN3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1
CLN1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1
CLN2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1
CLB5,1,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1
CLB1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0
CLB2,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1
SWI5,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1
CDC20,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,0,1
CDC14,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1
MCM1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0
